SDRIDU,SDRNOM,SDRGENRE,DRIDU,DRNOM,DRGENRE,SRUIDU,SRUNOM,RÉIDU,RÉNOM,RMRPIDU,RMRIDU,RMRNOM,RMRGENRE,CSSCODE,CSSGENRE,PRIDU,PRNOM
2475005,Saint-Colomban,V,2475,La Rivière-du-Nord,MRC,2475005,Saint-Colomban,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466142,Dollard-Des Ormeaux,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471050,Les Cèdres,MÉ,2471,Vaudreuil-Soulanges,MRC,2471050,Les Cèdres,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466047,Montréal-Ouest,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471070,Pincourt,V,2471,Vaudreuil-Soulanges,MRC,2471065,Notre-Dame-de-l'Île-Perrot,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2476025,Gore,CT,2476,Argenteuil,MRC,2476025,Gore,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466117,Sainte-Anne-de-Bellevue,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472015,Sainte-Marthe-sur-le-Lac,V,2472,Deux-Montagnes,MRC,2472005,Saint-Eustache,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471083,Vaudreuil-Dorion,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467055,Léry,V,2467,Roussillon,MRC,2467050,Châteauguay,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472802,Kanesatake,S-É,2472,Deux-Montagnes,MRC,2472032,Oka,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471100,Hudson,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471095,L'Île-Cadieux,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473010,Sainte-Thérèse,V,2473,Thérèse-De Blainville,MRC,2473015,Blainville,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472043,Saint-Placide,MÉ,2472,Deux-Montagnes,MRC,2472043,Saint-Placide,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466112,Baie-D'Urfé,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471065,Notre-Dame-de-l'Île-Perrot,V,2471,Vaudreuil-Soulanges,MRC,2471065,Notre-Dame-de-l'Île-Perrot,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466092,L'Île-Dorval,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471105,Saint-Lazare,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2470022,Beauharnois,V,2470,Beauharnois-Salaberry,MRC,2470022,Beauharnois,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473030,Bois-des-Filion,V,2473,Thérèse-De Blainville,MRC,2473015,Blainville,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466127,Senneville,VL,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473035,Sainte-Anne-des-Plaines,V,2473,Thérèse-De Blainville,MRC,2473035,Sainte-Anne-des-Plaines,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2474005,Mirabel,V,2474,Mirabel,TÉ,2474005,Mirabel,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471025,Saint-Zotique,MÉ,2471,Vaudreuil-Soulanges,MRC,2471020,Saint-Polycarpe,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473005,Boisbriand,V,2473,Thérèse-De Blainville,MRC,2473005,Boisbriand,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473025,Lorraine,V,2473,Thérèse-De Blainville,MRC,2473015,Blainville,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471055,Pointe-des-Cascades,VL,2471,Vaudreuil-Soulanges,MRC,2471050,Les Cèdres,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473020,Rosemère,V,2473,Thérèse-De Blainville,MRC,2473015,Blainville,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2475017,Saint-Jérôme,V,2475,La Rivière-du-Nord,MRC,2475017,Saint-Jérôme,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466102,Kirkland,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466107,Beaconsfield,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472020,Pointe-Calumet,MÉ,2472,Deux-Montagnes,MRC,2472025,Saint-Joseph-du-Lac,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473015,Blainville,V,2473,Thérèse-De Blainville,MRC,2473015,Blainville,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466087,Dorval,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467045,Mercier,V,2467,Roussillon,MRC,2467045,Mercier,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471075,Terrasse-Vaudreuil,MÉ,2471,Vaudreuil-Soulanges,MRC,2471065,Notre-Dame-de-l'Île-Perrot,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471090,Vaudreuil-sur-le-Lac,VL,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467050,Châteauguay,V,2467,Roussillon,MRC,2467050,Châteauguay,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472025,Saint-Joseph-du-Lac,MÉ,2472,Deux-Montagnes,MRC,2472025,Saint-Joseph-du-Lac,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466072,Mont-Royal,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467040,Saint-Isidore,PE,2467,Roussillon,MRC,2467040,Saint-Isidore,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472032,Oka,MÉ,2472,Deux-Montagnes,MRC,2472032,Oka,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466097,Pointe-Claire,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472005,Saint-Eustache,V,2472,Deux-Montagnes,MRC,2472005,Saint-Eustache,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466062,Hampstead,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471040,Coteau-du-Lac,V,2471,Vaudreuil-Soulanges,MRC,2471040,Coteau-du-Lac,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466058,Côte-Saint-Luc,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471060,L'Île-Perrot,V,2471,Vaudreuil-Soulanges,MRC,2471065,Notre-Dame-de-l'Île-Perrot,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471033,Les Coteaux,MÉ,2471,Vaudreuil-Soulanges,MRC,2471020,Saint-Polycarpe,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472010,Deux-Montagnes,V,2472,Deux-Montagnes,MRC,2472005,Saint-Eustache,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2459025,Verchères,MÉ,2459,Lajemmerais,MRC,2459025,Verchères,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2458012,Saint-Lambert,V,2458,Longueuil,TÉ,2458227,Longueuil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2458227,Longueuil,V,2458,Longueuil,TÉ,2458227,Longueuil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457010,Carignan,V,2457,La Vallée-du-Richelieu,MRC,2457010,Carignan,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2460028,L'Assomption,V,2460,L'Assomption,MRC,2460028,L'Assomption,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2455057,Richelieu,V,2455,Rouville,MRC,2455057,Richelieu,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457025,McMasterville,MÉ,2457,La Vallée-du-Richelieu,MRC,2457045,Saint-Mathieu-de-Beloeil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2460013,Repentigny,V,2460,L'Assomption,MRC,2460013,Repentigny,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467015,La Prairie,V,2467,Roussillon,MRC,2467015,La Prairie,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467030,Sainte-Catherine,V,2467,Roussillon,MRC,2467035,Saint-Constant,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466007,Montréal-Est,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2460035,L'Épiphanie,V,2460,L'Assomption,MRC,2460040,L'Épiphanie,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467025,Delson,V,2467,Roussillon,MRC,2467035,Saint-Constant,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2459020,Varennes,V,2459,Lajemmerais,MRC,2459020,Varennes,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2460005,Charlemagne,V,2460,L'Assomption,MRC,2460013,Repentigny,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2459010,Sainte-Julie,V,2459,Lajemmerais,MRC,2459010,Sainte-Julie,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2460020,Saint-Sulpice,PE,2460,L'Assomption,MRC,2460020,Saint-Sulpice,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467020,Candiac,V,2467,Roussillon,MRC,2467035,Saint-Constant,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467010,Saint-Philippe,MÉ,2467,Roussillon,MRC,2467010,Saint-Philippe,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2458007,Brossard,V,2458,Longueuil,TÉ,2458007,Brossard,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2452007,Lavaltrie,V,2452,D'Autray,MRC,2452007,Lavaltrie,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457020,Saint-Basile-le-Grand,V,2457,La Vallée-du-Richelieu,MRC,2457020,Saint-Basile-le-Grand,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2458033,Boucherville,V,2458,Longueuil,TÉ,2458227,Longueuil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457030,Otterburn Park,V,2457,La Vallée-du-Richelieu,MRC,2457033,Saint-Jean-Baptiste,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457045,Saint-Mathieu-de-Beloeil,MÉ,2457,La Vallée-du-Richelieu,MRC,2457045,Saint-Mathieu-de-Beloeil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2460040,L'Épiphanie,PE,2460,L'Assomption,MRC,2460040,L'Épiphanie,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2459015,Saint-Amable,MÉ,2459,Lajemmerais,MRC,2459015,Saint-Amable,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2458037,Saint-Bruno-de-Montarville,V,2458,Longueuil,TÉ,2458227,Longueuil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2455065,Saint-Mathias-sur-Richelieu,MÉ,2455,Rouville,MRC,2455065,Saint-Mathias-sur-Richelieu,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457040,Beloeil,V,2457,La Vallée-du-Richelieu,MRC,2457045,Saint-Mathieu-de-Beloeil,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467005,Saint-Mathieu,MÉ,2467,Roussillon,MRC,2467005,Saint-Mathieu,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457035,Mont-Saint-Hilaire,V,2457,La Vallée-du-Richelieu,MRC,2457033,Saint-Jean-Baptiste,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2457005,Chambly,V,2457,La Vallée-du-Richelieu,MRC,2457010,Carignan,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467802,Kahnawake,IRI,2467,Roussillon,MRC,2467802,Kahnawake,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467035,Saint-Constant,V,2467,Roussillon,MRC,2467035,Saint-Constant,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466032,Westmount,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2464008,Terrebonne,V,2464,Les Moulins,MRC,2464008,Terrebonne,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2464015,Mascouche,V,2464,Les Moulins,MRC,2464015,Mascouche,2450,Lanaudière,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466023,Montréal,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2465005,Laval,V,2465,Laval,TÉ,2465005,Laval,2445,Laval,24462,462,Montréal,B,462,1,24,Quebec / Québec